username,comment,date,like_count
@ChildofYHVH,This is why I always watch CNN!!! 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2023-03-04T16:09:56Z,0
@ShaynMcCallum-jw5oc,"And yes- this message brought to you by Jordan Peele!  That guy is one of the smartest, most talented, funniest people on the planet right now!",2023-03-02T11:12:50Z,21
@benbailey2037,Don't think we are taking care of this .. We are putting together the best group of diverse people to handle this!,2023-03-01T19:48:53Z,0
@gizmo-xc4eb,"Lmao. Except Obummer needs 7 teleprompters to give a speech. 

And so far…. Trump was right",2023-02-28T17:37:58Z,0
@BloggingWitches,I am not gonna lie. You had me in the first part.,2023-02-20T20:19:03Z,0
@weakish,Here we are in 2023 and this has only improved. Now with language training we dont even need someone to imitate we just train ai on the hundreds and thousands of hours of audio there is available.,2023-02-19T23:40:16Z,1
@johnrroberts7900,Obama's voice is deeper and less nasal.  Back to the drawing board.,2023-02-19T06:40:34Z,0
@rimzanawshad9360,Sir please give me my money,2023-02-18T21:11:04Z,0
@exceller187,You can tell by the eyes that it’s fake,2023-02-16T19:14:45Z,0
@itsjustweard2328,You can't trust anything on the internet never have been able to. And now they've allowed us to have technology that can make you look like you're saying anything They want you to. Yeah that was clever.,2023-02-14T09:29:21Z,0
@meganjarvis7970,He just said it!!!!!,2023-02-13T03:14:37Z,0
@BefreitDieLeit,I can't believe people actually think this is the real Obama. It's hilarious reading some of the comments,2023-02-11T20:20:59Z,0
@rathernotsay1648,"now we got ai-powered voices of powerful people that’ll only amplify these deepfakes…

welp he warned us i guess",2023-02-07T08:48:33Z,1
@KILLERDEVIL13,"""stay woke bitches"" Soros, 2015 probably",2023-02-05T19:37:57Z,1
@flamesofwaranimation7651,"Wow, buzzfeed being good for once",2023-02-04T01:38:26Z,0
@Code_6dof,"""Never trust anything you see on the internet."" 
- ""Never trust anything you see on the internet.""",2023-02-03T23:17:07Z,0
@Revelation911,Damar Hamlin,2023-02-02T21:32:49Z,0
@Fletchery,Still relevant.,2023-02-01T02:14:24Z,0
@zenmaster8826,Dame da ne,2023-01-31T11:51:33Z,0
@techypriest7523,"""I would never say these things, at least not in a public address...""
-Digital Obama",2023-01-30T00:17:28Z,0
@troybradshaw8781,Doesn't someone need to tell me who my enemies are? Or am I free to pick and choose? I only see one.,2023-01-29T06:10:09Z,1
@timothygraff8702,Smith-Mindy much kill evil,2023-01-29T03:59:42Z,0
@stivjoz476,"I would never say these things...
YET he did just say them.
Stay woke bitches- HAHAHA",2023-01-29T03:05:36Z,0
@dianna7795,This is not the real ovamit!,2023-01-29T01:11:55Z,1
